ablation_name,seed,label_shuffle,random_embeddings,loss_selection,num_folds,mean_pos_weight,mean_neg_weight,n_samples,n_pos,n_neg,mean_train_size,mean_test_size,train_accuracy_mean,train_accuracy_std,test_accuracy,test_auroc,test_auprc,test_prevalence,hidden_dim
ad_embedding,42,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5574213593483371,0.011708861180313298,0.5406824146981627,0.5220410440820882,0.35281494033125194,0.3333333333333333,
ad_embedding,43,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5790511606941627,0.02081723453146307,0.510498687664042,0.5037432574865149,0.3656101479724173,0.3333333333333333,
ad_embedding,44,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5806964164976336,0.006986034277928156,0.5,0.4741226982453965,0.3170022831315208,0.3333333333333333,
ad_embedding,45,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.572832351331337,0.007684978454241756,0.5236220472440944,0.5070602641205283,0.3573496559552789,0.3333333333333333,
ad_embedding,46,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5735020444959593,0.010549007807595562,0.5380577427821522,0.5414470828941658,0.39135859756878233,0.3333333333333333,
ad_embedding,47,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5603834637303198,0.017553790602051814,0.5249343832020997,0.5309458118916238,0.3443671332409908,0.3333333333333333,
ad_embedding,48,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5803647895939985,0.024457879791609058,0.5170603674540682,0.49836474672949344,0.3376472648954376,0.3333333333333333,
ad_embedding,49,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5741540294278631,0.006589478889351481,0.5131233595800525,0.5164300328600657,0.3604098113924763,0.3333333333333333,
ad_embedding,50,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.565307962265366,0.01595488499721878,0.5275590551181102,0.5283108066216132,0.36790810854771555,0.3333333333333333,
ad_embedding,51,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5682813355227149,0.023536805774862453,0.5354330708661418,0.5443843387686775,0.3810340756216811,0.3333333333333333,
embedding_hidden_4,42,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6001529347371133,0.048880339343568016,0.5826771653543307,0.5306086862173724,0.36159044395983575,0.3333333333333333,4
embedding_hidden_4,43,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5505570044109598,0.06519085097427416,0.5826771653543307,0.5424778349556699,0.3702482981516016,0.3333333333333333,4
embedding_hidden_4,44,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6027286776779677,0.04574921735146982,0.5721784776902887,0.5009803769607539,0.35591993165838337,0.3333333333333333,4
embedding_hidden_4,45,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5819617502173282,0.09631514495630211,0.5616797900262467,0.5085366420732842,0.3276114441664598,0.3333333333333333,4
embedding_hidden_4,46,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5615763546798029,0.09125939843869486,0.5761154855643045,0.53747907495815,0.36943225051449297,0.3333333333333333,4
embedding_hidden_4,47,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5773399014778324,0.09165209639060282,0.5485564304461942,0.5245830491660983,0.3512083671785098,0.3333333333333333,4
embedding_hidden_4,48,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5204127628062719,0.06342720412575431,0.4816272965879265,0.4948501147002294,0.3305186760356881,0.3333333333333333,4
embedding_hidden_4,49,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.547358253646286,0.06541275489021411,0.494750656167979,0.4699764399528799,0.3158600629345066,0.3333333333333333,4
embedding_hidden_4,50,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5306513409961685,0.07571747305460527,0.5354330708661418,0.48561209622419244,0.3456284893261625,0.3333333333333333,4
embedding_hidden_4,51,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5899063073505264,0.026035923999313534,0.5026246719160105,0.4494698989397979,0.31262697595272537,0.3333333333333333,4
embedding_hidden_8,42,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.633888727904955,0.03517764563383136,0.6233595800524935,0.5108345216690433,0.3409070404525203,0.3333333333333333,8
embedding_hidden_8,43,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5622235100936926,0.1020525295002266,0.5459317585301837,0.5335653171306343,0.35125931446013364,0.3333333333333333,8
embedding_hidden_8,44,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5934914195563283,0.06405196786263335,0.5643044619422573,0.5004417508835017,0.34074795179317,0.3333333333333333,8
embedding_hidden_8,45,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5718632280498406,0.04853086508013769,0.55249343832021,0.5248116746233492,0.3460189072721727,0.3333333333333333,8
embedding_hidden_8,46,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5990357062365176,0.034053132242567674,0.5997375328083989,0.5093000186000372,0.3531412379118872,0.3333333333333333,8
embedding_hidden_8,47,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5628593966322161,0.10462053481807392,0.55249343832021,0.5331080662161324,0.36993760053893954,0.3333333333333333,8
embedding_hidden_8,48,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5560304581602755,0.09187547059378666,0.48031496062992124,0.44977989955979913,0.3016818292991919,0.3333333333333333,8
embedding_hidden_8,49,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.4957967094883931,0.07756529903213494,0.4645669291338583,0.49926374852749705,0.3360068678672683,0.3333333333333333,8
embedding_hidden_8,50,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5627628062719341,0.07805463295750524,0.5393700787401575,0.5047120094240188,0.3330538008878061,0.3333333333333333,8
embedding_hidden_8,51,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5266718181525485,0.08402627472473537,0.515748031496063,0.5208087916175832,0.3493365136438875,0.3333333333333333,8
embedding_hidden_16,42,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6013570945619626,0.039655782642314265,0.5787401574803149,0.5508323516647033,0.3803107525460996,0.3333333333333333,16
embedding_hidden_16,43,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5747561093402878,0.07374804691172708,0.5603674540682415,0.49001023002046,0.3270095098851796,0.3333333333333333,16
embedding_hidden_16,44,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5606072313983065,0.0912964845735493,0.5393700787401575,0.515988281976564,0.3362892912532671,0.3333333333333333,16
embedding_hidden_16,45,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6168018931710615,0.023295854847007618,0.5748031496062992,0.49760524521049043,0.35170757426118265,0.3333333333333333,16
embedding_hidden_16,46,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6027705335007566,0.05775918877010435,0.5380577427821522,0.4951407402814806,0.3281134772702351,0.3333333333333333,16
embedding_hidden_16,47,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6079365079365079,0.07071600569321657,0.6010498687664042,0.5371458242916486,0.3628866722960956,0.3333333333333333,16
embedding_hidden_16,48,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5807913970185776,0.062383526919984604,0.531496062992126,0.47755595511191024,0.31396919022872505,0.3333333333333333,16
embedding_hidden_16,49,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5727486396857593,0.08084051391275786,0.5656167979002624,0.5016817533635067,0.3608198991350099,0.3333333333333333,16
embedding_hidden_16,50,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.632843942174571,0.04934620332225645,0.615485564304462,0.5268383036766073,0.3674407526934239,0.3333333333333333,16
embedding_hidden_16,51,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5880582117904632,0.07025080790454731,0.5971128608923885,0.5469883439766879,0.40485487536766973,0.3333333333333333,16
embedding_hidden_32,42,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5735213625680157,0.05131253937425743,0.5446194225721784,0.5336195672391345,0.36090360975705105,0.3333333333333333,32
embedding_hidden_32,43,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6197269712482695,0.025808793244068193,0.5813648293963255,0.4823222146444293,0.32609754353032094,0.3333333333333333,32
embedding_hidden_32,44,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5931565729740171,0.0342760131142046,0.589238845144357,0.5295663091326183,0.3496837266336984,0.3333333333333333,32
embedding_hidden_32,45,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6295502108889532,0.04027615160880209,0.5656167979002624,0.495752991505983,0.33793273186218226,0.3333333333333333,32
