ablation_name,seed,label_shuffle,random_embeddings,loss_selection,num_folds,mean_pos_weight,mean_neg_weight,n_samples,n_pos,n_neg,mean_train_size,mean_test_size,train_accuracy_mean,train_accuracy_std,test_accuracy,test_auroc,test_auprc,test_prevalence
ad_embedding,42,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5656331498116488,0.016968812396791544,0.5498687664041995,0.5421368342736685,0.3733430492932538,0.3333333333333333
ad_embedding,43,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.558086222994945,0.013691254935265428,0.520997375328084,0.524009548019096,0.37412632323842543,0.3333333333333333
random_embedding,42,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5554541356772594,0.020498252885543286,0.5144356955380578,0.4953732407464815,0.33423749910414813,0.3333333333333333
random_embedding,43,False,True,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5607231398306449,0.01833414069557942,0.5328083989501312,0.5267995535991072,0.35914643471673624,0.3333333333333333
label_shuffle,42,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5511590843233846,0.022234293205298104,0.5,0.4896847293694587,0.33709605184017677,0.3333333333333333
label_shuffle,43,True,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5600196400399241,0.014544571547698863,0.5328083989501312,0.5122062744125488,0.36624901325046355,0.3333333333333333
weighted_bce,42,False,False,weighted_bce,5,2.0,1.0,762,254,508,609.6,152.4,0.5751328117453878,0.007708546187211124,0.5498687664041995,0.5609151218302436,0.38647328415831206,0.3333333333333333
weighted_bce,43,False,False,weighted_bce,5,2.0,1.0,762,254,508,609.6,152.4,0.5721819762387714,0.015260469945787085,0.5039370078740157,0.5297833095666191,0.39602130085758597,0.3333333333333333
