ablation_name,mean_test_accuracy,mean_test_auroc,mean_test_auprc,mean_train_accuracy
weighted_bce,0.5269028871391076,0.5453492156984314,0.391247292507949,0.5736573939920796
ad_embedding,0.5354330708661417,0.5330731911463823,0.3737346862658396,0.561859686403297
label_shuffle,0.5164041994750657,0.5009455018910038,0.35167253254532016,0.5555893621816543
random_embedding,0.5236220472440944,0.5110863971727944,0.3466919669104422,0.5580886377539522
